"row","Micro","Mini","Control","Fringe","Refseq","ENC_1","ENC_2","ENC_3","ENC_4","PICIs"
"Micro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mini",NA,NA,0.000222413387213263,NA,5.05443661339726e-07,0.00528349555966976,0.000219062977702944,NA,0.00725035570777215,NA
"Control",NA,0.000222413387213263,NA,NA,0.222778395578178,1.09612351552557e-07,6.44442684161502e-09,NA,1.26118456660362e-06,NA
"Fringe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Refseq",NA,5.05443661339726e-07,0.222778395578178,NA,NA,1.28152498617191e-10,9.71879588523487e-12,NA,6.85259815821021e-09,NA
"PICIs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENC_1",NA,0.00528349555966976,1.09612351552557e-07,NA,1.28152498617191e-10,NA,0.222253498065331,NA,0.334300992773881,NA
"ENC_2",NA,0.000219062977702944,6.44442684161502e-09,NA,9.71879588523487e-12,0.222253498065331,NA,NA,1,NA
"ENC_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENC_4",NA,0.00725035570777215,1.26118456660362e-06,NA,6.85259815821021e-09,0.334300992773881,1,NA,NA,NA
